Procesos,Individuos,Posiciones,Repeticiones,Tiempo Promedio,Tiempo Promedio std,Tiempo Promedio Calcular Frecuencias,Tiempo Promedio Calcular Frecuencias std,Tiempo Promedio Calcular Hoplotipo,Tiempo Promedio Calcular Hoplotipo std,speed_up_total,speed_up_frecuencias,speed_up_haplo,eficiencia_total,eficiencia_frecuencias,eficiencia_haplo
3,500,8,10,0.3442617058753967,0.0072402958047981,0.0921171188354492,0.0048655879510377,0.2147762537002563,0.0058074501547856,2.4087034387550856,2.2958059069196346,2.705040057750743,80.29011462516952,76.52686356398782,90.16800192502478
3,500,10,10,1.197494545415975,0.0072682305805466,0.3174333333969116,0.0057031669994654,0.8425401210784912,0.0053316637515538,2.7201720553413318,2.669890437362022,2.8174297839076905,90.67240184471106,88.99634791206739,93.91432613025636
3,500,12,10,4.740423150290735,0.0041567123026416,1.259294033050537,0.0024644731187957,3.443636751174927,0.0030649465064162,2.7959034064590784,2.779202769780808,2.8214534538248666,93.19678021530261,92.64009232602693,94.04844846082888
3,1000,4,10,0.1414525869069621,0.0455376448478158,0.029305624961853,0.0098746856240436,0.0509793996810913,0.0182577686267761,1.166597115387216,1.140701792352057,1.5893970296006354,38.886570512907205,38.0233930784019,52.979900986687845
3,1000,6,10,0.220461387746036,0.0067386681551,0.0535454750061035,0.005313286098266,0.1165674448013305,0.0029655957516964,2.032409361438612,2.052369248305771,2.4689381253716114,67.7469787146204,68.41230827685904,82.29793751238704
3,1000,8,10,0.6282770240912214,0.0083061836466046,0.1638570785522461,0.0054952764642498,0.4147506237030029,0.0041251502216601,2.579506318002043,2.5411683155178255,2.7795976891569056,85.98354393340144,84.70561051726085,92.65325630523019
3,1000,10,10,2.347369772661477,0.0066569581369384,0.6138380527496338,0.0037681839190167,1.6841125011444091,0.0047183417318235,2.776206378810965,2.758545191502571,2.833439363998351,92.54021262703218,91.95150638341903,94.44797879994503
3,1000,12,10,9.500638430099936,0.0128998000315342,2.511067938804626,0.0051705062887082,6.940736842155457,0.0101331345376322,2.8040158936399338,2.789117683616244,2.8217049053190046,93.46719645466446,92.97058945387481,94.05683017730016
3,1500,4,10,0.1719816701952368,0.0106408003155935,0.0367147207260131,0.0071329958976777,0.0618692874908447,0.0049186962688801,1.4156861535083174,1.2597668590783875,2.062485500885168,47.18953845027725,41.99222863594625,68.74951669617228
3,1500,6,10,0.3253329932224005,0.0098937609144919,0.0745106697082519,0.0062581487683754,0.1790045022964477,0.0051865190729717,2.090936400794543,2.17378001564058,2.4987327505499812,69.69788002648477,72.45933385468601,83.29109168499937
3,1500,8,10,0.9579609515843912,0.0153947979111154,0.2451977729797363,0.0101978300585024,0.6411608934402466,0.0096881641936146,2.5981868348066506,2.5396652580525347,2.798278700280679,86.60622782688834,84.65550860175117,93.27595667602263
3,1500,10,10,3.624753091810271,0.0116717968250353,0.9161264181137084,0.0101008531364634,2.636238241195678,0.0054430776118289,2.7863513023461888,2.773585419769725,2.840324588593737,92.87837674487295,92.4528473256575,94.6774862864579
3,1500,12,10,14.52140525658615,0.0435252429258956,3.71185405254364,0.0115393753689337,10.740379667282104,0.0347938462237733,2.827683737321892,2.827116250578093,2.8388781822111246,94.25612457739639,94.2372083526031,94.62927274037082
3,3000,4,10,0.2729818845633417,0.0087605007652964,0.0480273008346557,0.0071595038835069,0.1052197694778442,0.0086291315989799,1.664318841255729,1.7782413817239902,2.343045025680697,55.477294708524305,59.274712724133,78.10150085602324
3,3000,6,10,0.5894259203458205,0.01312272365023,0.1269747734069824,0.0063587877858798,0.340200400352478,0.0074512400521831,2.2555908173355967,2.4614913172107817,2.6303122445737235,75.18636057785322,82.04971057369272,87.67707481912412
3,3000,8,10,1.8694723434047773,0.0162601942284867,0.4614211082458496,0.0088308571686155,1.2875414609909055,0.0098586353131249,2.6716182850369377,2.6747805709011194,2.8271413007065505,89.0539428345646,89.15935236337064,94.23804335688502
3,3000,10,10,7.106408148887567,0.0955978968035783,1.8070472717285155,0.0086683305509302,5.180640625953674,0.0960515485522649,2.787014779384852,2.8005372682162335,2.822128115390558,92.90049264616172,93.35124227387445,94.07093717968527
3,3000,12,10,28.924823275394736,0.1141583206684933,7.406682634353638,0.0129770431599307,21.40017800331116,0.1189577553426471,2.823176599118715,2.828624969261291,2.8310981966857187,94.10588663729051,94.28749897537637,94.36993988952396
4,500,4,10,0.0847052888246253,0.0036322357275603,0.019942831993103,0.0029142628119197,0.0265501499176025,0.0032819716565409,1.3260996275153127,1.0900816892080119,2.041509742329791,33.15249068788282,27.252042230200296,51.03774355824478
4,500,6,10,0.1228778560180217,0.0052927658365462,0.0328749179840087,0.0035558801406185,0.0529380321502685,0.0022036047165251,2.0794780227125744,1.950318158149335,2.9301304910596486,51.98695056781436,48.75795395373338,73.25326227649121
4,500,8,10,0.2840228291228414,0.007276650576433,0.0732013225555419,0.0048573703573307,0.1736423969268798,0.0052345642801068,2.9195693787527057,2.8890601722445424,3.3458324694600794,72.98923446881764,72.22650430611355,83.64581173650198
4,500,10,10,0.9325594995869324,0.0066594379599345,0.2471869707107544,0.0061395930034162,0.6487272024154663,0.0057169070836196,3.4929580367869657,3.428628211670915,3.659161543442531,87.32395091967415,85.71570529177286,91.47903858606328
4,500,12,10,3.648784134280868,0.013627251726037,0.9737135648727416,0.008145862467666,2.6386186599731447,0.0101470200119772,3.6323785530183206,3.5943151978989882,3.6822527456163856,90.80946382545801,89.8578799474747,92.05631864040964
4,1000,4,10,0.1105052642058581,0.0044939393758926,0.024382209777832,0.0037025524636778,0.0371555805206298,0.0044315163874084,1.4933060523009325,1.3710397549928437,2.18073584879025,37.332651307523314,34.27599387482109,54.51839621975625
4,1000,6,10,0.1916452036704868,0.0097683768691949,0.0489563941955566,0.0064128054990605,0.0952507495880126,0.0056141064545784,2.338006794374021,2.24475450233274,3.0214755253052132,58.450169859350524,56.118862558318504,75.53688813263034
4,1000,8,10,0.5027705288026482,0.010349609692638,0.1320575714111328,0.0067475811291992,0.3220324516296386,0.0065093543717762,3.2234279064813225,3.1530824915289983,3.57988727343263,80.58569766203306,78.82706228822497,89.49718183581575
4,1000,10,10,1.8005706360796467,0.0090294107540234,0.4726097822189331,0.0062601525358027,1.2765721559524537,0.0060956362225088,3.619287577897929,3.5828712660657422,3.7380030826256054,90.48218944744822,89.57178165164356,93.45007706564013
4,1000,12,10,7.149836339661851,0.0107436482120553,1.8906394481658932,0.0063844117077875,5.211238145828247,0.006274865730263,3.7259511815604016,3.7043890095893324,3.758168528474666,93.14877953901004,92.60972523973331,93.95421321186666
4,1500,4,10,0.1537540950812399,0.0065244407127268,0.0328169822692871,0.0047553310274008,0.0495990991592407,0.0031086756572309,1.5835159969169348,1.4093918822705465,2.5727182663193506,39.58789992292337,35.23479705676366,64.31795665798377
4,1500,6,10,0.2797145368997007,0.0095236312451472,0.0672049045562744,0.0056964743293275,0.1388128519058227,0.00876022646102,2.431945816788507,2.4100890527739325,3.2222118214781177,60.79864541971267,60.25222631934831,80.55529553695294
4,1500,8,10,0.7585108624305577,0.01243639552891,0.1967594146728515,0.0119618625284243,0.4918655157089233,0.0076969019547882,3.281378891120736,3.1648816724926485,3.647637035462585,82.0344722780184,79.12204181231621,91.19092588656463
4,1500,10,10,2.789670576597564,0.1030341740924593,0.7361162900924683,0.1017783626019325,1.9825164079666135,0.0060595875674005,3.620440199203463,3.451838941951494,3.7769030650995195,90.51100498008657,86.29597354878736,94.42257662748798
4,1500,12,10,10.97654120917432,0.0671658645754963,2.83362500667572,0.0675515150666579,8.071459317207337,0.0091918925669692,3.7408816406382406,3.703328029290359,3.777585726178283,93.52204101595602,92.58320073225897,94.43964315445707
4,3000,4,10,0.2550822815392166,0.0145034616593026,0.0435892343521118,0.0051275459631917,0.0874155521392822,0.0109910890120979,1.781107221790382,1.9592941942223918,2.820260828250794,44.52768054475955,48.9823548555598,70.50652070626985
4,3000,6,10,0.497921054274775,0.0133995504875225,0.1051649570465087,0.0098341108813454,0.2680258989334106,0.0089485427148197,2.6701094119589817,2.9719719479167486,3.3386075085166365,66.75273529897454,74.29929869791872,83.4651877129159
4,3000,8,10,1.4543442592024802,0.0111171022693946,0.3659960508346557,0.0098644087677922,0.964143133163452,0.005574618948785,3.43420511643502,3.3721681218282584,3.7754369818473186,85.8551279108755,84.30420304570646,94.38592454618296
4,3000,10,10,5.379032083041966,0.0157910470688339,1.3840579032897948,0.0103538115404945,3.8755700826644897,0.0095073395238588,3.6820127178141013,3.6564245020929316,3.772459600623897,92.05031794535253,91.41061255232329,94.31149001559743
4,3000,12,10,21.78676626076922,0.0341213255326574,5.589931535720825,0.0109029605774196,16.07602276802063,0.0374657395370497,3.7481415657256716,3.747939899629752,3.7687185585758725,93.7035391431418,93.6984974907438,94.21796396439682
6,500,4,10,0.0780199702829122,0.0037973992872395,0.0185198783874511,0.0014772408888983,0.0224759340286254,0.0030114209871453,1.4397294891499646,1.1738368650068276,2.4115745155716204,23.995491485832744,19.563947750113794,40.19290859286034
6,500,6,10,0.1132997096981853,0.0028201176794775,0.0334744215011596,0.0037730678188872,0.0430177927017211,0.0032156691339965,2.2552732195712664,1.9153893216544822,3.6058414994870644,37.58788699285444,31.923155360908034,60.09735832478441
6,500,8,10,0.2327116914559155,0.0102104225815643,0.0608981847763061,0.0031779318366422,0.1323132514953613,0.0087447691445792,3.563311965917478,3.4727311877631655,4.3909310907773875,59.3885327652913,57.87885312938609,73.18218484628979
6,500,10,10,0.6632108051329851,0.0135203542354666,0.1805760622024536,0.0055938116500149,0.4450440883636474,0.0087417029041452,4.911547239057789,4.693380789233143,5.333848248589908,81.85912065096316,78.22301315388572,88.8974708098318
6,500,12,10,2.4459672537166623,0.0152774128319789,0.664862847328186,0.0075341920566381,1.7431496381759644,0.0094787203261908,5.41861924513346,5.2639931358578815,5.57385355366717,90.31032075222433,87.7332189309647,92.89755922778616
